Parking Libertad,"RIO NEGRO 1217, Centro, Montevideo, Montevideo",,,2901 5653,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Afel Cardis Srl,"Av Agraciada 2686, Capurro Bella Vista, Montevideo, Montevideo",,,2209 8513,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Aloitan Srl,"Ana Monterroso de Lavalleja 2175, Tres Cruces, Montevideo, Montevideo",,,2402 8802,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Ambassador Estacionamiento,"Julio Herrera y Obes 1325, Centro, Montevideo, Montevideo",,,2908  0008,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Auto3 Sa,"Av Ocho de Octubre 2523, Tres Cruces, Montevideo, Montevideo",,,2480 7293,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Autohouse Parking,"Av Ocho de Octubre 3345, Union, Montevideo, Montevideo",,,2481 8424,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Caicobe Srl,"Ejido 1238, Centro, Montevideo, Montevideo",,,2908  9784,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Catan Sabah Eduardo Salvador,"Alejandro Chucarro 1286, Pocitos, Montevideo, Montevideo",,,2707  5841,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Centro Parking Srl,"Ciudadela 1268, Ciudad Vieja, Montevideo, Montevideo",,,2902  4328,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Colonia Park,"Colonia 1771, Cordon, Montevideo, Montevideo",,,2408  9605,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-1
Dagui Ltda,"Paysandú 869, Centro, Montevideo, Montevideo",,,2900 4227,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Del Puerto Cosenza Alejandro,"Paysandú 1062, Centro, Montevideo, Montevideo",,,2902 6405,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Dervine Sa,"Alzáibar 1274, Ciudad Vieja, Montevideo, Montevideo",,,2915 2388,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Edificio Carropark,"San José 1480, Cordon, Montevideo, Montevideo",,,2413  6012,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
El Muelle,"Piedras 533, Ciudad Vieja, Montevideo, Montevideo",,,2916  6196,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento,"Dr Mario Cassinoni 1520, Tres Cruces, Montevideo, Montevideo",,,2408  3118,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento Comercio,"Comercio 2381, Union, Montevideo, Montevideo",,,2506  3710,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento Cordon,"Santiago de Chile 1168, Barrio Sur, Montevideo, Montevideo",,,2903 0784,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento Embassy,"Btomitre 2591, Pocitos, Montevideo, Montevideo",,,2707  5257,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento La Moneda Srl,"Charrúa 1967, Cordon, Montevideo, Montevideo",,,2408  9936,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-2
Estacionamiento Paysandu,"Paysandú 933, Centro, Montevideo, Montevideo",,,2902  1319,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Estacionamientos Buceo,"Br José Batlle y Ordóñez 1418, Buceo, Montevideo, Montevideo",,,2613 8361,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Gularte Romero Ruben Camilo,"Dr Joaquín Requena 1072, Parque Rodo, Montevideo, Montevideo",,,2402  2106,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Highlander Srl,"Río Negro 1217, Centro, Montevideo, Montevideo",,,2901  5653,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Huilana SA,"Av Gral Rivera 3331, Pque Batlle Villa Dolores, Montevideo, Montevideo",,,2622  9596,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Liber Park,"Av Gral Rondeau 1414, Centro, Montevideo, Montevideo",,,2901  5752,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Luis Agustin Fernandez,"Treinta y Tres 1377, Ciudad Vieja, Montevideo, Montevideo",,,2915  3112,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Mareal Sa,"Colonia 1082, Centro, Montevideo, Montevideo",,,2902 0592,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Mery Par,"Mercedes 1113, Centro, Montevideo, Montevideo",,,2901  3416,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Monler Sa,"Juncal 1367, Ciudad Vieja, Montevideo, Montevideo",,,2916  5792,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-3
Najil Sa,"Cnel Mora 594, Punta Carretas, Montevideo, Montevideo",,,2711  7848,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Neotec Srl Estacionamientos,"José Enrique Rodó 1675, Cordon, Montevideo, Montevideo",,,2409  6624,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Noceti Rivera Oscar,"Guayaquí 3265, Pocitos, Montevideo, Montevideo",,,2708  6250,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Ordenes Ltda,"Av Italia 2973, La Blanqueada, Montevideo, Montevideo",,,2481  6502,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parkin Malaga,"Av Italia 2364, Pque Batlle Villa Dolores, Montevideo, Montevideo",,,2487  4044,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking Baires,"Buenos Aires 332, Ciudad Vieja, Montevideo, Montevideo",,,2915  4475,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking Bajo Techo,"Av Uruguay 1025, Centro, Montevideo, Montevideo",,,2903  1086,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking De La Catedral,"Rincón 517, Ciudad Vieja, Montevideo, Montevideo",,,2916  7196,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking Del Mercado,"Piedras 318, Ciudad Vieja, Montevideo, Montevideo",,,2915  4000,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking La Cachila,"Av Gral Rivera 3036, Pocitos, Montevideo, Montevideo",,,2707  4934,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-4
Parking Leon,"Palmar 2220, Tres Cruces, Montevideo, Montevideo",,,2402  5311,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Parking Magallanes,"Magallanes 1819, Aguada, Montevideo, Montevideo",,,2924  8872,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
Parking Obelisco,"Dr Mario Cassinoni 1560, Tres Cruces, Montevideo, Montevideo",,,2408  5413,http://paginasamarillas.com.uy/voltprod/sitio/rubro/automotores_-_estacionamientos/177400/zona/Montevideo/pagina-5
